Similarity,MatchingSkills,ResumeWordCount,Projects,Education,Experience,FinalScore
0.88,13,450,4,1,1,92.5
0.82,11,400,3,1,1,85.0
0.75,10,380,3,1,1,80.0
0.65,8,350,2,1,1,72.0
0.55,6,300,2,1,0,63.0
0.45,5,280,1,1,0,52.0
0.35,3,200,1,0,0,41.0
0.25,2,150,0,0,0,30.0
0.15,1,120,0,0,0,18.0
0.91,14,500,5,1,1,95.0
0.85,12,420,4,1,1,88.0
0.78,10,390,3,1,1,82.0
0.71,9,360,2,1,1,76.0
0.62,7,330,2,1,1,68.0
0.52,6,290,1,1,0,58.0
0.42,4,240,1,0,0,47.0
0.31,3,180,0,0,0,36.0
0.22,1,140,0,0,0,24.0
0.11,0,100,0,0,0,12.0
0.89,14,480,4,1,1,94.0
0.83,11,410,3,1,1,86.0
0.77,10,375,3,1,1,81.0
0.68,8,340,2,1,1,73.0
0.58,7,310,2,1,0,65.0
0.48,5,260,1,1,0,54.0
0.38,4,210,1,0,0,43.0
0.28,2,160,0,0,0,32.0
0.18,1,130,0,0,0,20.0
0.93,15,520,5,1,1,96.5
0.86,12,430,4,1,1,89.0
0.79,11,395,3,1,1,83.0
0.72,9,355,2,1,1,77.0
0.64,8,325,2,1,1,70.0
0.54,6,295,1,1,0,60.0
0.44,5,250,1,0,0,49.0
0.34,3,190,1,0,0,39.0
0.24,2,145,0,0,0,28.0
0.14,1,110,0,0,0,16.0
0.90,14,490,4,1,1,93.5
0.84,12,415,3,1,1,87.0
0.76,10,385,3,1,1,80.5
0.69,8,345,2,1,1,74.0
0.59,7,315,2,1,0,66.0
0.49,5,270,1,1,0,56.0
0.39,4,220,1,0,0,45.0
0.29,2,170,0,0,0,34.0
0.19,1,135,0,0,0,22.0
0.94,15,550,5,1,1,97.5
0.87,13,440,4,1,1,90.5
0.80,11,405,3,1,1,84.0
